# Launch order, longest first (LPT): archived rx_*/rxpv_* agent VASP minutes on 8 GPUs.
# Only affects which system gets a GPU first; nothing a run computes depends on it.
FeSe	1145
Li4Ti5O12	976
SnSe	564
Cr	498
LiCoO2	459
LiFeAs	341
CoSb3	327
LiMn2O4	319
CaCO3	271
TiPbO3	235
LiFePO4	184
LiNbO3	165
Sb2Te3	151
NbN	147
BaTiO3	144
NaCl	135
FeS2	124
Fe	115
Bi2Te3	115
Li7La3Zr2O12	108
Cu	104
SiO2	102
BaFeO3	96
Li10GeP2S12	90
CaF2	43
Sr2RuO4	26
Au	26
Zn	18
Nb3Sn	15
BN	12
TePb	11
AlN	8
Ni	7
MgO	4
Ti	3
MgB2	3
Mg	2
TiC	1
Li2S	1
Al	1
